caldt,vwretd
2017-05-08,0.000120
2017-05-09,-0.000840
2017-05-10,0.001544
2017-05-11,-0.001886
2017-05-12,-0.001505
2017-05-15,0.004893
2017-05-16,-0.000532
2017-05-17,-0.017765
2017-05-18,0.003894
2017-05-19,0.006803
2017-05-22,0.005194
2017-05-23,0.001866
2017-05-24,0.002619
2017-05-25,0.004637
2017-05-26,0.000442
2017-05-30,-0.001077
2017-05-31,-0.000246
2017-06-01,0.007790
2017-06-02,0.003729
2017-06-05,-0.001125
2017-06-06,-0.002917
2017-06-07,0.001804
2017-06-08,0.000242
2017-06-09,-0.001078
2017-06-12,-0.000905
2017-06-13,0.004788
2017-06-14,-0.000869
2017-06-15,-0.002126
2017-06-16,-0.000004
2017-06-19,0.008362
2017-06-20,-0.006614
2017-06-21,-0.000311
2017-06-22,-0.000292
2017-06-23,0.001557
2017-06-26,0.000369
2017-06-27,-0.008077
2017-06-28,0.008989
2017-06-29,-0.008639
2017-06-30,0.001448
2017-07-03,0.002172
2017-07-05,0.001723
2017-07-06,-0.008985
2017-07-07,0.006416
2017-07-10,0.000841
2017-07-11,-0.000699
2017-07-12,0.007441
2017-07-13,0.001951
2017-07-14,0.004780
2017-07-17,-0.000049
2017-07-18,0.000620
2017-07-19,0.005406
2017-07-20,-0.000002
2017-07-21,-0.000323
2017-07-24,-0.000930
2017-07-25,0.002977
2017-07-26,0.000367
2017-07-27,-0.000869
2017-07-28,-0.001417
2017-07-31,-0.000852
2017-08-01,0.002376
2017-08-02,0.000468
2017-08-03,-0.002013
2017-08-04,0.001812
2017-08-07,0.001737
2017-08-08,-0.002294
2017-08-09,-0.000307
2017-08-10,-0.014158
2017-08-11,0.001418
2017-08-14,0.010084
2017-08-15,-0.000278
2017-08-16,0.001705
2017-08-17,-0.015426
2017-08-18,-0.001856
2017-08-21,0.001212
2017-08-22,0.009940
2017-08-23,-0.003371
2017-08-24,-0.002188
2017-08-25,0.001694
2017-08-28,0.000432
2017-08-29,0.001036
2017-08-30,0.004883
2017-08-31,0.005670
2017-09-01,0.002032
2017-09-05,-0.007371
2017-09-06,0.003125
2017-09-07,0.000169
2017-09-08,-0.001551
2017-09-11,0.010761
2017-09-12,0.003469
2017-09-13,0.000841
2017-09-14,-0.000843
2017-09-15,0.001692
2017-09-18,0.001354
2017-09-19,0.001015
2017-09-20,0.000675
2017-09-21,-0.003020
2017-09-22,0.000616
2017-09-25,-0.002247
2017-09-26,0.000224
2017-09-27,0.004093
2017-09-28,0.001397
2017-09-29,0.003660
2017-10-02,0.003852
2017-10-03,0.002259
2017-10-04,0.001291
2017-10-05,0.005880
2017-10-06,-0.000768
2017-10-09,-0.001758
2017-10-10,0.002565
2017-10-11,0.001959
2017-10-12,-0.001502
2017-10-13,0.000898
2017-10-16,0.001685
2017-10-17,0.000645
2017-10-18,0.000807
2017-10-19,0.000345
2017-10-20,0.005192
2017-10-23,-0.003903
2017-10-24,0.001649
2017-10-25,-0.004605
2017-10-26,0.001247
2017-10-27,0.008374
2017-10-30,-0.003219
2017-10-31,0.001062
2017-11-01,0.001601
2017-11-02,0.000333
2017-11-03,0.003278
2017-11-06,0.001301
2017-11-07,-0.000092
2017-11-08,0.001637
2017-11-09,-0.003541
2017-11-10,-0.000429
2017-11-13,0.001019
2017-11-14,-0.002001
2017-11-15,-0.005351
2017-11-16,0.009226
2017-11-17,-0.002675
2017-11-20,0.001258
2017-11-21,0.006422
2017-11-22,-0.000617
2017-11-24,0.002211
2017-11-27,-0.000270
2017-11-28,0.009686
2017-11-29,-0.000280
2017-11-30,0.008424
2017-12-01,-0.002015
2017-12-04,-0.001111
2017-12-05,-0.003580
2017-12-06,-0.000017
2017-12-07,0.003135
2017-12-08,0.005568
2017-12-11,0.003180
2017-12-12,0.001538
2017-12-13,-0.000367
2017-12-14,-0.003837
2017-12-15,0.008871
2017-12-18,0.005425
2017-12-19,-0.003125
2017-12-20,-0.000778
2017-12-21,0.001918
2017-12-22,-0.000401
2017-12-26,-0.000854
2017-12-27,0.000805
2017-12-28,0.002006
2017-12-29,-0.005153
2018-01-02,0.008278
2018-01-03,0.006438
2018-01-04,0.004242
2018-01-05,0.007046
2018-01-08,0.001809
2018-01-09,0.001561
2018-01-10,-0.001224
2018-01-11,0.007104
2018-01-12,0.006827
2018-01-16,-0.003477
2018-01-17,0.009444
2018-01-18,-0.001441
2018-01-19,0.004494
2018-01-22,0.008095
2018-01-23,0.002332
2018-01-24,-0.000505
2018-01-25,0.000746
2018-01-26,0.011833
2018-01-29,-0.006455
2018-01-30,-0.010750
2018-01-31,0.000477
2018-02-01,-0.000802
2018-02-02,-0.020820
2018-02-05,-0.040869
