PERMNO,date
18484,2022-02-15
18484,2022-02-16
18484,2022-02-17
18484,2022-02-18
18484,2022-02-22
18484,2022-02-23
18484,2022-02-24
18484,2022-02-25
18484,2022-02-28
18484,2022-03-01
18484,2022-03-02
18484,2022-03-03
18484,2022-03-04
18484,2022-03-07
18484,2022-03-08
18484,2022-03-09
18484,2022-03-10
18484,2022-03-11
18484,2022-03-14
18484,2022-03-15
18484,2022-03-16
18484,2022-03-17
18484,2022-03-18
18484,2022-03-21
18484,2022-03-22
18484,2022-03-23
18484,2022-03-24
18484,2022-03-25
18484,2022-03-28
18484,2022-03-29
18484,2022-03-30
18484,2022-03-31
18484,2022-04-01
18484,2022-04-04
18484,2022-04-05
18484,2022-04-06
18484,2022-04-07
18484,2022-04-08
18484,2022-04-11
18484,2022-04-12
18484,2022-04-13
18484,2022-04-14
18484,2022-04-18
18484,2022-04-19
18484,2022-04-20
18484,2022-04-21
18484,2022-04-22
18484,2022-04-25
18484,2022-04-26
18484,2022-04-27
18484,2022-04-28
18484,2022-04-29
18484,2022-05-02
18484,2022-05-03
18484,2022-05-04
18484,2022-05-05
18484,2022-05-06
18484,2022-05-09
18484,2022-05-10
18484,2022-05-11
18484,2022-05-12
18484,2022-05-13
18484,2022-05-16
18484,2022-05-17
18484,2022-05-18
18484,2022-05-19
18484,2022-05-20
18484,2022-05-23
18484,2022-05-24
18484,2022-05-25
18484,2022-05-26
18484,2022-05-27
18484,2022-05-31
18484,2022-06-01
18484,2022-06-02
18484,2022-06-03
18484,2022-06-06
18484,2022-06-07
18484,2022-06-08
18484,2022-06-09
18484,2022-06-10
18484,2022-06-13
18484,2022-06-14
18484,2022-06-15
18484,2022-06-16
18484,2022-06-17
18484,2022-06-21
18484,2022-06-22
18484,2022-06-23
18484,2022-06-24
18484,2022-06-27
18484,2022-06-28
18484,2022-06-29
18484,2022-06-30
18484,2022-07-01
18484,2022-07-05
18484,2022-07-06
18484,2022-07-07
18484,2022-07-08
18484,2022-07-11
18484,2022-07-12
18484,2022-07-13
18484,2022-07-14
18484,2022-07-15
18484,2022-07-18
18484,2022-07-19
18484,2022-07-20
18484,2022-07-21
18484,2022-07-22
18484,2022-07-25
18484,2022-07-26
18484,2022-07-27
18484,2022-07-28
18484,2022-07-29
18484,2022-08-01
18484,2022-08-02
18484,2022-08-03
18484,2022-08-04
18484,2022-08-05
18484,2022-08-08
18484,2022-08-09
18484,2022-08-10
18484,2022-08-11
18484,2022-08-12
18484,2022-08-15
18484,2022-08-16
18484,2022-08-17
18484,2022-08-18
18484,2022-08-19
18484,2022-08-22
18484,2022-08-23
18484,2022-08-24
18484,2022-08-25
18484,2022-08-26
18484,2022-08-29
18484,2022-08-30
18484,2022-08-31
18484,2022-09-01
18484,2022-09-02
18484,2022-09-06
18484,2022-09-07
18484,2022-09-08
18484,2022-09-09
18484,2022-09-12
18484,2022-09-13
18484,2022-09-14
18484,2022-09-15
18484,2022-09-16
18484,2022-09-19
18484,2022-09-20
18484,2022-09-21
18484,2022-09-22
18484,2022-09-23
18484,2022-09-26
18484,2022-09-27
18484,2022-09-28
18484,2022-09-29
18484,2022-09-30
18484,2022-10-03
18484,2022-10-04
18484,2022-10-05
18484,2022-10-06
18484,2022-10-07
18484,2022-10-10
18484,2022-10-11
18484,2022-10-12
18484,2022-10-13
18484,2022-10-14
18484,2022-10-17
18484,2022-10-18
18484,2022-10-19
18484,2022-10-20
18484,2022-10-21
18484,2022-10-24
18484,2022-10-25
18484,2022-10-26
18484,2022-10-27
18484,2022-10-28
18484,2022-10-31
18484,2022-11-01
18484,2022-11-02
18484,2022-11-03
18484,2022-11-04
18484,2022-11-07
